district,incumbent_vote,incumbent_spend,challenger_spend,total_spend,incumbent_party,presidential_margin,incumbent_tenure,primary_challenge
1,52.78615909861401,683202.667297652,318916.1328572433,1002118.8001548953,Democrat,-7.782740562199761,11,TRUE
2,52.64847928425297,359457.04153336206,50000,409457.04153336206,Democrat,-35.01706279062044,27,FALSE
3,57.14596359990537,4622726.800235807,253581.65163374745,4876308.451869555,Republican,-2.3849842091287585,19,FALSE
4,65.54819358512759,619515.6380602834,155902.6499913242,775418.2880516076,Republican,-0.44545582319863897,16,FALSE
5,55.56955369422212,646794.813249913,750107.5269104382,1396902.3401603512,Democrat,-8.447935845507699,5,FALSE
6,53.24317960301414,1722802.6598813776,57192.3131591077,1779994.9730404853,Republican,-9.053707725187616,4,TRUE
7,67.83193445997313,639427.2490335167,463046.4260417724,1102473.675075289,Democrat,3.7627835173832183,30,TRUE
8,44.950321034993976,822848.9750826944,162331.42179220656,985180.396874901,Democrat,-6.701398417023652,5,FALSE
9,51.644550354685634,916647.4348560534,77990.69282394886,994638.1276800022,Democrat,-26.4868400488231,5,FALSE
10,40.80926808528602,526918.5964986454,289818.2286571301,816736.8251557755,Democrat,10.075319049611526,28,FALSE
11,49.99193247174844,100000,110778.01772662051,210778.0177266205,Democrat,-29.705880856966658,29,FALSE
12,44.97628282755613,2354123.4489508476,302432.43832749524,2656555.8872783426,Republican,-16.532808031099016,28,FALSE
13,49.518207882065326,579398.0271062782,115118.7895514619,694516.8166577402,Democrat,-11.490149265206078,17,FALSE
14,64.85342054395005,252634.08156047607,174496.46205718542,427130.54361766146,Democrat,-17.947687751988475,26,FALSE
15,59.44936362095177,276056.8155265543,575545.9512344508,851602.7667610052,Democrat,6.388453587723869,13,FALSE
16,52.30313833570108,1089323.5473155195,178947.1491627518,1268270.6964782714,Republican,31.934025448505242,2,FALSE
17,45.51903133513406,772921.9306158054,146919.78488869124,919841.7155044967,Democrat,10.22661828148243,29,FALSE
18,48.14980042167008,100000,218893.60922620608,318893.6092262061,Republican,-8.245939838482627,14,FALSE
19,59.49076595483348,644907.3626072496,182949.8366729162,827857.1992801658,Republican,-7.114922546286562,13,FALSE
20,57.59014767361805,653394.4658261494,50000,703394.4658261494,Democrat,0.8618483666358063,16,FALSE
21,51.27127144718543,3015516.75315607,256934.66264667624,3272451.4158027465,Republican,6.6362093506019475,17,FALSE
22,53.430162037257105,109105.00821890462,130771.04935992546,239876.05757883008,Democrat,-3.6469461261264735,29,FALSE
23,63.098759702406824,1540974.3468222688,289616.911238214,1830591.2580604828,Republican,-4.347566042354052,26,TRUE
24,62.483084285631776,1632348.0565347786,52886.50226890215,1685234.5588036808,Democrat,8.651585048563026,27,FALSE
