employee_id,salary,gender,years_experience,department,performance_rating,hours_worked,has_mentor,leadership_role,education_level
1,56.9,Female,12,Marketing,4.2,49.3,FALSE,FALSE,Bachelors
2,86.6,Female,20,Sales,3.3,47.2,FALSE,FALSE,Masters
3,42.5,Male,18,Finance,3.3,50.8,FALSE,FALSE,Bachelors
4,30,Female,2,Finance,4.4,44.4,TRUE,FALSE,Masters
5,75.3,Female,14,Finance,3.3,40.9,FALSE,FALSE,Masters
6,68.7,Female,29,Engineering,3.5,44.9,FALSE,FALSE,PhD
7,33.5,Female,0,Engineering,3.4,38.7,FALSE,FALSE,Masters
8,56.1,Male,3,HR,4,44.3,TRUE,FALSE,Masters
9,53.1,Male,7,Marketing,3.5,45.5,FALSE,FALSE,Masters
10,59.9,Non-binary,6,Sales,3.4,50.5,TRUE,FALSE,HS
11,55.1,Female,23,Finance,3.1,41,TRUE,FALSE,Bachelors
12,49,Male,16,Marketing,3.5,41.4,FALSE,FALSE,Masters
13,73.8,Female,9,HR,2.5,42.8,FALSE,FALSE,Bachelors
14,66.5,Male,15,Sales,4.2,30.7,TRUE,FALSE,Masters
15,70.7,Female,25,Marketing,5,39.3,TRUE,FALSE,Bachelors
16,66.6,Male,18,Engineering,3.4,39.6,TRUE,FALSE,Masters
17,47.5,Female,3,Marketing,4.1,38,FALSE,FALSE,Bachelors
18,57.1,Male,4,Engineering,3.9,30,FALSE,FALSE,Bachelors
19,69.7,Male,20,HR,1.3,39.3,FALSE,FALSE,Bachelors
20,74.3,Male,29,Marketing,4.2,30,TRUE,TRUE,Masters
21,72.7,Male,29,Sales,3.3,43.3,FALSE,FALSE,Bachelors
22,65.9,Female,24,Engineering,3.6,42,FALSE,FALSE,Bachelors
23,57.7,Non-binary,20,HR,3.9,41.8,TRUE,FALSE,HS
24,75.5,Male,25,Engineering,2.6,54.1,TRUE,TRUE,HS
25,79.4,Female,2,Marketing,4.1,36.3,TRUE,TRUE,Masters
26,47.8,Male,16,Finance,3.8,52.5,TRUE,FALSE,Masters
27,91.6,Female,11,Finance,4.4,40,FALSE,FALSE,Masters
28,93,Male,0,Sales,4.2,32.3,TRUE,FALSE,HS
29,64.2,Male,9,Finance,3.2,40.1,TRUE,FALSE,Bachelors
30,70.4,Non-binary,11,Marketing,2.8,46.5,FALSE,FALSE,HS
31,58.7,Male,21,Engineering,3.6,31,TRUE,FALSE,HS
32,30,Male,21,Marketing,2.8,43.2,TRUE,TRUE,Masters
