respondent_id,fox_hours,msnbc_hours,newspaper_freq,social_media_news,perceived_bias,actual_knowledge,confidence,party_id
1,0.8559832315206861,1.150633646165933,2,1,0.5418140254914761,1,6,Republican
2,1.836661146515226,2.052043741614421,1,5,4.963774615898728,6,4,Republican
3,0.6051793440422288,1.440589911734289,5,4,-1.3539905310608447,10,3,Republican
4,5.2482694998615385,3.7333030385269668,1,1,-1.9653582642786205,1,9,Independent
5,5.18359376376193,2.680613394016608,6,4,3.3919718372635543,8,10,Democrat
6,0.9212019780661369,6.796809893470583,7,3,-0.2473150286823511,3,3,Republican
7,4.721641159326873,1.8756625271257839,5,4,4.324317811988294,4,6,Republican
8,3.050039365741689,0.9743132744077452,6,4,-3.267922638915479,0,1,Democrat
9,5.048183817125455,4.606427190527995,3,3,2.1956680342555046,5,10,Independent
10,1.8197991754279195,3.6336104053138114,2,5,-1.2632481241598725,8,9,Independent
11,4.2824351491498405,1.8953194043249177,4,0,4.578176108188927,0,3,Independent
12,2.990786425535907,0,4,0,2.632485209032893,1,10,Independent
13,3.43797068693845,2.937750327629451,7,5,2.8349641780368984,1,8,Independent
14,0,2.76009345618994,0,2,-4.170678965747356,2,6,Republican
15,2.0019252532938823,0,1,2,-1.7638988350518048,10,6,Independent
16,1.2956816210098534,0.509300321592562,6,3,3.184319846332073,8,8,Democrat
17,2.0149775811383615,2.1337019180607,3,2,-3.01036327611655,1,3,Independent
18,2.416575420935424,3.0735612688894802,3,3,0.15819106018170714,8,2,Independent
19,2.3814150794355484,1.5072389348219999,0,4,3.2152123958803713,4,8,Democrat
20,0,2.680497638826384,1,5,1.3728467817418277,7,1,Independent
21,0,5.518487144306709,7,3,-4.3596379132941365,7,3,Democrat
22,2.5383146283229023,3.1343500427096296,6,2,4.5950760412961245,1,8,Independent
23,2.0145934293574093,1.7426578748215524,3,0,-3.8177012791857123,1,7,Republican
24,0.0323118848008388,2.9411090695625446,3,1,4.445302817039192,5,9,Democrat
25,1.8387003969094797,1.8970643309816269,4,1,2.8950046049430966,0,5,Republican
26,0.10610308367414967,1.74654465368646,5,0,-2.1347035723738372,4,7,Democrat
27,4.875411109048366,0.2894876251576244,1,4,0.5466442555189133,5,6,Democrat
28,0.49435524609687476,2.5031008524747502,1,0,0.1101109734736383,8,3,Republican
29,0,0,5,1,2.7504904195666313,8,10,Independent
30,1.0196784652536595,0,7,4,1.8890164117328823,6,9,Republican
31,1.3503012939642585,3.141489749371524,0,2,3.545708709862083,8,4,Independent
32,1.2040266035888023,0,4,2,-3.6496347701177,2,9,Independent
33,1.8058931998599979,4.855947862075875,7,2,-4.086496187373996,3,9,Republican
34,1.664550890481569,1.0673095659482212,7,0,-2.220604820176959,5,5,Democrat
35,0.4680905460986666,4.673503899587059,5,4,1.5184831037186086,6,6,Republican
36,3.520503674431543,3.0030726266990886,0,2,-4.824472034815699,5,1,Republican
37,0.5495260947420091,2.251098813550648,1,1,1.8763567670248449,4,2,Republican
38,4.1952203273599835,1.349049330092242,0,5,2.072546537965536,2,10,Independent
39,1.512149425420021,6.0535633701035,1,1,1.8266612943261862,10,7,Republican
