voter_id,party,age_group,education,income_bracket,race,political_engagement,trust_institutions,voted_2020,ideology_score
1,Republican,45-64,HS,60-100k,Hispanic,86.8,62.6,TRUE,2.9
2,Republican,30-44,Graduate,60-100k,White,37.7,54.5,TRUE,3.7
3,Democrat,45-64,HS,<30k,Hispanic,67.9,21.3,FALSE,2.8
4,Democrat,45-64,HS,30-60k,Black,29.8,22.9,FALSE,5.4
5,Democrat,45-64,Some College,>100k,Other,76.2,32,TRUE,4.9
6,Republican,65+,HS,<30k,White,50.3,70.6,TRUE,5.8
7,Republican,45-64,Graduate,30-60k,White,40.5,57.9,FALSE,4.2
8,Democrat,18-29,HS,60-100k,Hispanic,35.2,31.6,TRUE,3.7
9,Other,30-44,College,>100k,White,6.6,33.4,TRUE,3.9
10,Democrat,45-64,College,60-100k,Hispanic,69.6,37.2,TRUE,2.6
11,Democrat,65+,Some College,>100k,Black,19,51.5,FALSE,5.2
12,Independent,65+,Graduate,60-100k,White,41.6,35.5,TRUE,3.9
13,Republican,30-44,College,<30k,Hispanic,35.8,41,TRUE,6.1
14,Independent,30-44,HS,>100k,White,0,48.5,TRUE,4
15,Republican,45-64,HS,60-100k,Black,44.9,29.1,FALSE,2.1
16,Republican,30-44,College,<30k,White,22.5,62.3,TRUE,5.1
17,Democrat,45-64,Graduate,60-100k,Hispanic,65.8,33.6,FALSE,6.2
18,Republican,45-64,Graduate,60-100k,White,80.7,32.4,TRUE,5.5
19,Republican,45-64,Some College,60-100k,White,15.9,54.6,TRUE,3.2
20,Democrat,65+,Graduate,>100k,Black,63.8,43.6,FALSE,3
21,Independent,45-64,HS,60-100k,White,23.2,70.3,TRUE,6.1
22,Republican,65+,HS,>100k,White,29.6,49.5,TRUE,2.1
23,Democrat,30-44,College,<30k,Asian,0,10.5,FALSE,3.2
24,Independent,18-29,HS,<30k,Asian,90.9,49.6,FALSE,5.9
25,Democrat,18-29,Some College,<30k,White,17,37,FALSE,5
26,Democrat,18-29,HS,>100k,Black,41.5,32.7,TRUE,7
27,Republican,30-44,Graduate,<30k,White,53.8,71.5,TRUE,4.2
28,Independent,45-64,HS,30-60k,Hispanic,36.2,37.4,TRUE,3.2
29,Other,18-29,College,>100k,Hispanic,40.8,35.7,TRUE,4.3
30,Other,65+,Graduate,60-100k,Hispanic,62.6,6.1,FALSE,2.8
31,Republican,30-44,HS,>100k,White,72.6,32.9,FALSE,1.1
32,Democrat,65+,Graduate,<30k,White,70.6,19.2,TRUE,2.8
33,Republican,65+,Some College,60-100k,Black,63.9,100,FALSE,6.1
34,Republican,30-44,HS,60-100k,White,71.1,51.7,TRUE,3.5
35,Democrat,65+,Some College,>100k,Asian,20.4,46.5,FALSE,3
36,Republican,45-64,Some College,60-100k,White,52.4,78.7,FALSE,4.1
37,Republican,45-64,College,60-100k,White,100,0,TRUE,4.5
38,Democrat,65+,HS,<30k,White,36.9,13.7,TRUE,4.3
39,Other,45-64,Graduate,<30k,White,57.9,45.2,FALSE,3.5
40,Republican,65+,Graduate,>100k,Black,49.7,34.6,FALSE,4.7
41,Republican,30-44,Graduate,30-60k,White,17.3,57.2,FALSE,3.6
42,Democrat,45-64,Some College,30-60k,White,43.3,76.3,TRUE,5.3
43,Independent,65+,Graduate,>100k,White,65,7.3,TRUE,5.2
44,Democrat,65+,Graduate,<30k,White,77,24.8,TRUE,7
45,Independent,18-29,College,>100k,Hispanic,18.6,29.3,TRUE,6.3
46,Republican,18-29,HS,>100k,White,55.3,51,TRUE,7
47,Democrat,18-29,Some College,>100k,White,63.1,36.3,TRUE,5.2
48,Democrat,30-44,College,60-100k,White,24.7,56.5,FALSE,4.3
49,Democrat,18-29,Graduate,>100k,White,39.5,71.9,TRUE,2.3
50,Republican,65+,Graduate,>100k,Asian,30.2,46.1,TRUE,4.8
51,Democrat,18-29,Some College,<30k,White,59.6,33.2,TRUE,5.2
52,Democrat,30-44,College,60-100k,White,16.8,37.6,TRUE,4.7
53,Republican,65+,Graduate,>100k,Asian,15.3,68.6,FALSE,3.1
54,Democrat,30-44,HS,60-100k,White,43.8,58.3,TRUE,3.1
55,Independent,30-44,College,>100k,Black,32.4,32,FALSE,4.2
56,Republican,45-64,College,60-100k,White,62.4,80.8,TRUE,4
57,Democrat,30-44,Some College,60-100k,White,32.1,99.6,TRUE,4.2
58,Independent,30-44,HS,60-100k,White,37.1,68.1,FALSE,7
59,Republican,45-64,Some College,60-100k,White,81.3,30.4,TRUE,4.5
60,Republican,18-29,College,60-100k,White,55,47.9,FALSE,2.7
61,Independent,18-29,College,60-100k,White,70,69.2,FALSE,3.6
62,Republican,30-44,Graduate,<30k,White,48,24.7,TRUE,3.8
63,Democrat,65+,HS,60-100k,Asian,54.3,71.5,TRUE,6.8
64,Independent,18-29,HS,>100k,White,77.4,74.3,TRUE,3.4
65,Republican,65+,Some College,30-60k,Hispanic,38.4,48,TRUE,2.4
66,Republican,65+,Some College,30-60k,White,47.8,58.2,TRUE,3.2
67,Republican,45-64,HS,>100k,White,67.8,55.1,TRUE,2.6
68,Democrat,30-44,HS,30-60k,Hispanic,58.4,56.3,FALSE,4
69,Republican,45-64,Some College,30-60k,White,91.7,67,TRUE,3.3
70,Independent,30-44,Some College,30-60k,White,18.2,40.3,TRUE,2.5
71,Republican,18-29,Graduate,30-60k,White,69.3,61.4,TRUE,4.9
72,Democrat,45-64,Some College,60-100k,Black,40.9,87.4,FALSE,5.1
73,Republican,45-64,College,>100k,White,59.2,21.2,TRUE,4
74,Republican,65+,HS,30-60k,White,18.7,42.9,FALSE,3
75,Republican,30-44,Graduate,<30k,White,69.1,30.7,TRUE,2.6
76,Independent,45-64,HS,>100k,White,39,13.4,FALSE,1.3
77,Republican,45-64,College,30-60k,White,30.9,28.3,TRUE,4.1
78,Democrat,65+,HS,<30k,Asian,28,43,TRUE,3.6
79,Democrat,30-44,College,60-100k,White,60.3,33.4,TRUE,3.3
80,Other,45-64,Graduate,<30k,White,58.7,32.6,FALSE,4.6
81,Republican,18-29,Graduate,60-100k,Black,76.9,61.6,FALSE,5.2
82,Republican,30-44,College,>100k,White,56.4,60.3,TRUE,4.8
83,Independent,18-29,Graduate,60-100k,Hispanic,3,2.3,TRUE,3.7
84,Other,30-44,Graduate,>100k,White,42.3,65.3,TRUE,2.4
85,Democrat,45-64,Graduate,<30k,White,68,25.3,FALSE,5.2
86,Republican,30-44,Some College,>100k,White,14,35.9,TRUE,3.9
87,Republican,18-29,HS,30-60k,Hispanic,32.4,53.1,TRUE,3.7
88,Democrat,18-29,Some College,30-60k,Black,37.8,32.5,TRUE,3.9
89,Independent,45-64,Some College,>100k,Black,11.4,17.5,TRUE,1.8
90,Republican,18-29,Some College,30-60k,White,29.6,0,TRUE,4.2
91,Democrat,65+,Graduate,60-100k,Hispanic,64.7,10.8,TRUE,3.5
92,Other,18-29,College,<30k,White,84.8,21.7,TRUE,6.6
93,Independent,45-64,Some College,>100k,White,64.1,55.6,TRUE,2.5
94,Independent,30-44,Graduate,60-100k,White,23.6,26.2,TRUE,4.8
95,Other,65+,College,<30k,White,14.4,32.1,TRUE,4
96,Independent,30-44,Graduate,>100k,Hispanic,45.6,78.4,TRUE,4.8
97,Independent,30-44,Some College,>100k,White,32,61.9,TRUE,6.1
98,Democrat,30-44,Graduate,>100k,White,89.2,29.8,TRUE,1
99,Independent,65+,Some College,30-60k,Black,42.6,41.1,TRUE,2.4
100,Republican,65+,HS,<30k,White,62.2,33.6,FALSE,4.8
101,Independent,18-29,College,30-60k,Black,39.5,51.2,FALSE,3
102,Democrat,65+,Some College,<30k,White,53,56.8,FALSE,1.1
103,Republican,65+,HS,<30k,White,55.4,7.9,FALSE,5.7
104,Republican,45-64,Graduate,30-60k,White,46.1,73.6,TRUE,1
105,Independent,45-64,College,30-60k,Asian,56.4,47.8,FALSE,3.3
106,Democrat,45-64,Graduate,<30k,Black,33.1,65,TRUE,4.6
107,Democrat,45-64,College,60-100k,White,30.5,48.1,FALSE,4.4
108,Republican,65+,HS,60-100k,Hispanic,48.7,55.1,TRUE,5.4
109,Independent,18-29,College,30-60k,White,36.9,66.5,TRUE,5
110,Republican,65+,HS,30-60k,Black,61.3,65.9,TRUE,1
111,Republican,65+,HS,60-100k,Other,81.8,31,TRUE,1.5
112,Democrat,45-64,College,>100k,White,41.1,69.6,TRUE,1.8
113,Other,65+,Graduate,30-60k,Black,33.2,21.6,TRUE,6.9
114,Other,30-44,College,30-60k,White,44.3,40.1,TRUE,3.3
115,Democrat,45-64,Graduate,60-100k,White,35.8,0,TRUE,1
116,Republican,30-44,Some College,<30k,White,56.4,77,TRUE,2.2
117,Democrat,30-44,HS,<30k,Asian,13.6,31,TRUE,4.3
118,Republican,45-64,Graduate,60-100k,White,72,47.8,TRUE,5.6
119,Democrat,18-29,Graduate,60-100k,Black,48.7,51.9,TRUE,5.8
120,Other,45-64,College,30-60k,Black,59,58.9,FALSE,5.9
121,Other,45-64,Graduate,>100k,White,61.7,30.9,TRUE,5.6
122,Republican,45-64,HS,30-60k,White,81.9,5.9,TRUE,3.9
123,Republican,18-29,HS,60-100k,Black,30.7,55.4,TRUE,5.6
