unit_id,policy_implemented,outcome,implementation_quality,prior_policies,state_capacity,political_support,urban_rural,region,years_since_implementation
1,FALSE,58.9,Medium,5,0.84,62.3,Rural,South,10
2,FALSE,43.1,Medium,5,0.31,45.7,Rural,Midwest,9
3,TRUE,34.1,Medium,1,0.4,43.9,Rural,Midwest,1
4,TRUE,43.5,Medium,3,0.47,87.6,Rural,South,2
5,TRUE,45.6,Low,3,0.36,56,Suburban,West,7
6,TRUE,51.6,Medium,2,0.38,43.7,Urban,Northeast,3
7,TRUE,89,Low,3,0.58,44.1,Urban,Midwest,1
8,FALSE,35.8,High,1,0.5,85,Suburban,South,7
9,TRUE,25.5,Medium,2,0.55,32.6,Suburban,Northeast,8
10,TRUE,50,Medium,4,0.55,25.7,Urban,Midwest,0
11,FALSE,41.3,Low,2,0.48,77.4,Rural,Midwest,7
12,TRUE,49.5,High,2,0.25,67.7,Suburban,West,8
13,TRUE,74.2,Medium,1,0.56,82.3,Suburban,Midwest,6
14,FALSE,67.1,Medium,3,0.55,58.7,Rural,Midwest,4
15,FALSE,21.1,Medium,2,0.36,25.6,Suburban,South,5
16,TRUE,31.5,High,0,0.43,46.3,Rural,South,6
17,TRUE,29.3,High,3,0.47,81.4,Suburban,Midwest,4
18,TRUE,63.1,Low,0,0.75,28.7,Suburban,West,1
19,TRUE,48.9,Low,2,0.25,64.1,Suburban,Northeast,2
20,FALSE,42.5,High,2,0.45,35.7,Rural,Midwest,2
21,FALSE,51.1,High,1,0.61,76.7,Urban,Northeast,6
22,TRUE,56.7,High,2,0.57,50.3,Rural,West,8
23,FALSE,40.3,Low,4,0.45,33.2,Rural,South,10
24,FALSE,26.1,Medium,1,0.38,50.9,Urban,Northeast,8
25,TRUE,34.6,High,3,0.55,33.2,Suburban,Northeast,0
26,FALSE,23.9,Low,2,0.44,93.4,Rural,Midwest,10
27,TRUE,46.6,Low,4,0.38,26.3,Rural,Midwest,5
28,FALSE,61,High,0,0.53,63,Urban,West,7
29,TRUE,30,High,3,0.18,54.5,Suburban,Midwest,10
30,TRUE,63.4,Low,3,0.21,54.9,Suburban,Midwest,5
31,TRUE,68.2,Low,2,0.51,44.5,Rural,Northeast,7
32,TRUE,42.5,Low,3,0.39,67.9,Urban,West,8
33,FALSE,34.9,Medium,5,0.4,49.9,Suburban,Northeast,9
34,TRUE,66,Medium,3,0.32,58.8,Suburban,Northeast,10
35,FALSE,52.7,High,3,0.75,100,Suburban,Midwest,3
36,TRUE,35.5,Low,0,0.22,56.8,Urban,Midwest,7
37,FALSE,33.5,High,4,0.47,38.4,Suburban,West,3
38,TRUE,54.4,High,2,0.39,37.5,Suburban,South,10
39,TRUE,27.1,Medium,4,0.68,52.3,Suburban,West,0
40,TRUE,64.2,Medium,2,0.1,38.2,Rural,Midwest,7
41,FALSE,46.4,High,5,0.37,40.7,Urban,West,6
42,FALSE,19.5,Low,1,0.46,29.3,Urban,South,9
43,FALSE,71.7,High,2,0.43,68.3,Suburban,Midwest,8
44,TRUE,51,High,4,0.52,59,Suburban,West,2
45,TRUE,5.7,Medium,5,0.58,17.6,Suburban,Northeast,4
46,FALSE,40.8,Low,4,0.86,73.2,Rural,South,9
47,FALSE,58.1,Medium,1,0.21,40.5,Urban,Midwest,3
48,TRUE,59.6,High,1,0.5,46.2,Rural,Northeast,3
49,FALSE,62.1,Medium,0,0.51,11.7,Rural,Northeast,8
50,TRUE,48,Medium,2,0.74,73.5,Urban,South,5
51,TRUE,47,Medium,2,0.63,46.3,Urban,South,9
52,FALSE,51.8,High,1,0.39,76,Rural,Midwest,10
53,TRUE,31.9,Medium,0,0.66,47.8,Urban,Midwest,1
54,TRUE,40.5,High,5,0.67,61.9,Suburban,Midwest,5
55,TRUE,56.1,Medium,3,0.51,58.3,Suburban,South,5
56,TRUE,49,Low,5,0.66,71.8,Rural,Midwest,1
57,FALSE,36.4,Low,0,0.39,57,Urban,West,1
58,FALSE,41.2,Medium,5,0.32,81.5,Suburban,Northeast,6
59,TRUE,74.7,High,1,0.7,72.9,Urban,South,10
60,TRUE,52.2,High,5,0.66,33.5,Suburban,South,7
61,TRUE,20.1,High,0,0.69,24.6,Rural,West,10
62,TRUE,60.9,Low,2,0.54,92.4,Rural,Midwest,1
63,FALSE,51.6,Medium,4,0.06,71.1,Suburban,West,9
64,FALSE,32.6,Medium,3,0.21,47.3,Suburban,South,6
65,FALSE,46.7,High,1,0.6,32.3,Suburban,South,0
66,TRUE,59.9,Medium,4,0.26,97.1,Urban,South,6
67,TRUE,45,High,0,0.44,44,Urban,South,10
68,TRUE,45.2,High,5,0.57,55.6,Suburban,West,6
69,TRUE,54,Low,3,0.35,31.2,Urban,Northeast,1
70,TRUE,52.8,Low,4,0.35,73.6,Rural,South,9
71,TRUE,33.4,Medium,0,0.53,50.9,Urban,Midwest,3
72,TRUE,54,Medium,2,0.42,68.3,Rural,Midwest,3
73,FALSE,25.5,Low,2,0.35,63,Suburban,West,8
74,TRUE,38.6,Low,2,0.6,66.6,Suburban,West,8
75,FALSE,51.9,High,0,0.38,14.2,Suburban,South,3
76,FALSE,59.5,High,1,0.6,64.1,Suburban,South,10
77,TRUE,38.7,Medium,3,0.59,75.6,Urban,West,8
78,FALSE,57,High,5,0.72,70.2,Urban,Northeast,1
79,FALSE,47.2,Low,5,0.3,76,Rural,West,6
80,FALSE,28.4,High,1,0.08,63.4,Suburban,South,3
81,FALSE,38.3,High,0,0.53,61.4,Urban,Midwest,2
82,TRUE,38.7,Medium,2,0.63,76.1,Urban,West,6
83,TRUE,65.8,High,5,0.23,38.8,Rural,South,3
84,TRUE,45.9,Medium,5,0.81,61.4,Urban,Midwest,10
85,FALSE,33.7,High,2,0.97,57,Rural,Northeast,10
86,FALSE,54.8,Low,3,0,59.6,Urban,South,1
87,TRUE,41.5,High,0,0.72,52.9,Rural,Northeast,0
88,TRUE,75.8,Low,3,0.51,91.4,Suburban,South,0
89,TRUE,59,High,1,0.08,91.4,Suburban,Northeast,0
90,FALSE,54.1,Low,3,0.48,75.5,Rural,South,10
91,FALSE,65.5,Low,0,0.56,59.4,Rural,Northeast,1
92,TRUE,75.9,Low,4,0.67,55,Rural,Northeast,4
93,TRUE,43.1,Low,0,0.37,45.9,Suburban,West,9
94,FALSE,48.6,Medium,3,0.44,63,Rural,Northeast,1
95,FALSE,33.5,Low,4,0.15,37.8,Rural,West,9
96,TRUE,44.6,High,5,0.49,93.4,Urban,South,9
97,FALSE,47.7,Low,4,0.07,56.8,Rural,South,1
98,TRUE,14.8,Low,4,0.65,61.9,Urban,Northeast,5
99,TRUE,43.2,Medium,4,0.62,29.9,Rural,Midwest,1
100,TRUE,42.8,Low,3,0.91,39.8,Urban,South,8
101,TRUE,44.4,Medium,3,0.64,56.1,Suburban,West,4
102,FALSE,46.1,Medium,5,0.48,53.1,Suburban,Midwest,1
103,TRUE,31,Medium,4,0.41,57.3,Rural,Northeast,4
104,FALSE,58.5,Low,0,0.56,30,Rural,South,7
105,TRUE,47.2,Medium,5,0.42,66.1,Suburban,West,10
106,TRUE,55.4,Medium,0,0.32,66.1,Rural,Northeast,2
107,FALSE,53,Medium,2,0.41,49.6,Suburban,Northeast,0
108,FALSE,73,Low,3,0.46,29.7,Rural,Midwest,3
109,TRUE,49.7,Medium,2,0.5,50.3,Urban,Northeast,5
110,FALSE,58.5,Low,3,0.51,60.3,Rural,Midwest,5
111,FALSE,35.3,High,0,0.46,47.1,Suburban,Northeast,0
112,FALSE,38,Medium,2,0.34,48.6,Rural,West,10
113,FALSE,44.1,High,4,0.56,72.8,Suburban,West,8
114,TRUE,30.7,Medium,2,0.35,63.5,Urban,Midwest,7
115,TRUE,59.8,Low,1,0.34,59.8,Suburban,West,10
116,TRUE,19.6,Low,2,0.62,35.2,Rural,West,8
117,TRUE,33,Medium,0,0.67,71.5,Suburban,South,9
118,FALSE,24.4,High,1,0.42,53.3,Suburban,Northeast,1
119,TRUE,34.1,Medium,3,0.55,46.9,Urban,South,8
120,FALSE,58.9,Medium,5,0.56,53.5,Suburban,South,6
121,TRUE,30.8,Low,5,0.47,69.6,Rural,Midwest,3
122,TRUE,66.2,High,0,0.5,20.4,Urban,Northeast,9
123,TRUE,43.7,High,1,0.15,73.9,Rural,West,7
124,TRUE,50.3,Medium,0,0.39,24.7,Suburban,Midwest,8
125,TRUE,40.3,Low,5,0.51,72.1,Urban,West,10
126,FALSE,59.9,Low,3,0.27,87.9,Rural,Midwest,5
127,FALSE,66.5,High,2,0.12,27.7,Rural,West,8
128,TRUE,27.4,Medium,3,0.34,52.8,Suburban,Midwest,5
129,FALSE,80.4,Medium,4,0.57,63.3,Urban,Northeast,6
130,TRUE,29.4,Medium,3,0.47,43.8,Rural,Midwest,3
131,FALSE,62.1,Medium,2,0.36,79.3,Rural,Midwest,8
132,FALSE,59.1,Low,5,0.64,52.8,Urban,Northeast,1
133,TRUE,36.6,Medium,1,0.64,59.5,Rural,Midwest,5
134,TRUE,52.3,High,3,0.59,39.3,Urban,Midwest,1
135,TRUE,31.5,Low,5,0.49,50.2,Urban,Northeast,4
136,FALSE,53.9,Low,1,0.73,98.3,Rural,Midwest,3
137,TRUE,60.7,Low,0,0.7,72,Rural,South,0
138,FALSE,51.1,High,3,0.91,58,Rural,South,9
139,FALSE,45.2,Medium,4,0.74,35.1,Suburban,South,10
140,TRUE,55.3,Low,0,0.72,100,Suburban,South,3
141,TRUE,38.6,Low,3,0.4,62.4,Rural,Northeast,4
142,FALSE,31.4,High,4,0.39,13.8,Rural,Midwest,9
143,FALSE,70.4,Medium,5,0.14,81.7,Suburban,Midwest,3
144,FALSE,40.9,Low,3,0.29,59.1,Rural,Midwest,8
145,TRUE,34.8,High,5,0.79,68.1,Urban,Midwest,4
146,TRUE,51.4,Low,4,0,84.3,Urban,South,8
147,FALSE,44.5,High,0,0.52,65.9,Suburban,South,8
148,FALSE,72.6,Medium,3,0.67,31.9,Suburban,South,6
149,TRUE,39.7,High,1,0.29,34,Urban,West,5
150,FALSE,89.8,Low,4,0.52,41.4,Rural,South,9
151,FALSE,81.7,High,2,0.7,32.2,Rural,West,8
152,FALSE,52.9,Medium,1,0.3,54.1,Suburban,Northeast,5
153,TRUE,51.1,High,3,0.54,37.8,Rural,South,8
154,TRUE,62.4,Medium,5,0.62,90.7,Urban,Midwest,10
155,TRUE,67.9,Medium,4,0.2,62.6,Rural,West,0
156,FALSE,44.8,High,5,0.55,39.1,Urban,Midwest,7
157,FALSE,75.5,High,5,0.49,60.5,Urban,Midwest,1
158,TRUE,49.6,High,0,0.53,51.8,Rural,South,7
159,TRUE,52.4,Medium,1,0.45,54.3,Urban,West,6
160,FALSE,55.1,High,1,0.98,71.8,Urban,South,5
161,FALSE,61.2,Low,0,0.32,68.2,Urban,West,6
162,FALSE,35.3,Low,2,0.58,84.3,Rural,South,4
163,FALSE,29.5,Low,3,0.39,73.8,Urban,South,8
164,TRUE,38.9,High,3,0.72,21,Suburban,Northeast,4
165,FALSE,20.1,High,0,0.24,86.7,Suburban,South,4
166,TRUE,70.6,Low,4,0.84,43.9,Urban,Midwest,1
167,FALSE,48.6,High,3,0.28,67.8,Suburban,South,1
168,TRUE,57.6,High,0,0.92,39.4,Rural,West,3
169,TRUE,37.9,Medium,3,0.3,70.2,Rural,Northeast,6
