state,region,subregion,dem_vote_share,turnout,median_income,urban_percent,college_percent,evangelical_percent,union_membership
Alabama,South,Deep South,59.7,55.3,41218,86.7,40.1,20.9,12.2
Alaska,West,Pacific,48.2,49.7,42428,95,25.1,14.7,11.2
Arizona,West,Southwest,47.5,74.3,53031,89.4,15,17.5,4.2
Arkansas,South,Deep South,55.3,59.9,54746,62.9,25.9,27.8,9.8
California,West,Pacific,41.4,59.3,55041,54.4,41.4,41.1,6.8
Colorado,West,Mountain,69.6,45.6,60228,60.7,26.4,12.8,8.9
Connecticut,Northeast,New England,52.7,50.9,64321,95,23.1,24,9.8
Delaware,Northeast,Mid-Atlantic,33.5,67.9,42810,45.7,31.8,16.5,2
Florida,South,Southeast,53.3,69,56419,95,33.5,38.9,2
Georgia,South,Deep South,57.4,67,35727,70,23.5,39.5,11.7
Hawaii,West,Pacific,44.9,53.4,43149,41.6,35.3,27.2,16.4
Idaho,West,Mountain,39.7,51.4,61283,67,34.3,30.5,20.6
Illinois,Midwest,Great Lakes,56.6,61.3,72660,82,45.4,13.7,8.4
Indiana,Midwest,Great Lakes,52.2,62.6,40528,80.6,30.4,13.1,6.8
Iowa,Midwest,Great Plains,39.6,50.3,53328,61.1,29.5,17.1,7.8
Kansas,Midwest,Great Plains,46.4,41.8,63215,57.1,45.3,19.9,7
Kentucky,South,Upper South,55.8,54.7,56622,60.2,28.4,30.5,10.8
Louisiana,South,Deep South,62.5,44.9,55785,70.4,37.7,40.4,5.3
Maine,Northeast,New England,46.9,80,50686,95,21.8,22.7,12.4
Maryland,Northeast,Mid-Atlantic,65.8,63.8,40997,48.6,18.7,18.2,10.4
Massachusetts,Northeast,New England,37,63.7,64022,30,22.1,9,8.7
Michigan,Midwest,Great Lakes,39.3,76.2,56457,95,39.3,32.2,6.8
Minnesota,Midwest,Great Lakes,62.6,59.7,36508,81.1,27.3,22.8,5.5
Mississippi,South,Deep South,59.3,50.2,51113,30.2,37.2,21.4,7.3
Missouri,Midwest,Great Plains,42.2,65.9,51986,81.1,34.6,41.4,10.9
Montana,West,Mountain,70,58.6,46603,60,26.2,43.8,13.2
Nebraska,Midwest,Great Plains,57.1,50.5,41964,90.3,43.5,5,13.3
Nevada,West,Mountain,53.7,74.3,33666,40,28.6,50,13
New Hampshire,Northeast,New England,62.9,55.2,59842,70.5,29.2,23.2,8
New Jersey,Northeast,Mid-Atlantic,51.8,73.6,43377,61.7,43.1,50,14
New Mexico,West,Southwest,52.7,47.2,64329,67.4,34.5,21.8,16.1
New York,Northeast,Mid-Atlantic,50,63.6,60475,95,15,42.8,8.8
North Carolina,South,Southeast,33.5,73.2,57489,59,39.3,38,4.5
North Dakota,Midwest,Great Plains,42.1,58.1,44074,34.7,30.9,5,17.1
Ohio,Midwest,Great Lakes,64.4,80,38817,59.3,18,27,7.1
Oklahoma,South,Great Plains,55.7,56.1,49087,88.6,29.4,17.1,5.4
Oregon,West,Pacific,36.9,76.7,44151,74.9,43.5,23.6,20.9
Pennsylvania,Northeast,Mid-Atlantic,58.1,56.5,82386,61.4,33.2,6,4.5
Rhode Island,Northeast,New England,47.9,69.9,48154,90.3,32.8,27.3,10.9
South Carolina,South,Southeast,55.3,57.9,62532,51.2,31.7,33.9,7.5
South Dakota,Midwest,Great Plains,26.3,71.7,57127,78.4,25.9,32,2.6
Tennessee,South,Upper South,43.8,49.8,58447,42.1,26.7,12.5,14
Texas,South,Southwest,42.1,50.5,63319,83.1,31.8,15.2,15.1
Utah,West,Mountain,45.6,56.9,56671,91.3,20.7,18,15.2
Vermont,Northeast,New England,42.9,75.6,56866,56.1,32.3,7.1,11.9
Virginia,South,Southeast,39.4,61.1,52444,57.5,45.8,35.9,6.7
Washington,West,Pacific,50.2,67.6,64666,65.2,39.7,33.3,11.5
West Virginia,South,Upper South,58,54.6,63585,51.5,37.3,9.6,14.8
Wisconsin,Midwest,Great Lakes,28.6,80,58842,95,39.1,43.9,17.7
Wyoming,West,Mountain,37,58.3,70776,70.9,25.7,34,9.9
