respondent_id,wave,age,political_ideology,news_consumption_freq,climate_anxiety_scale,behavior_change_index
1,1,29,5,4,6,4
1,2,29,5,4,6,2
1,3,29,5,4,5,3
2,1,70,5,3,7,5
2,2,70,5,3,6,1
2,3,70,5,3,7,2
3,1,69,1,5,10,5
3,2,69,1,5,8,6
3,3,69,1,5,10,3
4,1,75,3,2,4,4
4,2,75,3,2,3,1
4,3,75,3,2,12,5
5,1,23,2,1,5,2
5,2,23,2,1,4,0
5,3,23,2,1,8,5
6,1,23,4,4,8,2
6,2,23,4,4,7,3
6,3,23,4,4,7,5
7,1,40,5,2,3,1
7,2,40,5,2,4,3
7,3,40,5,2,8,3
8,1,43,3,4,9,4
8,2,43,3,4,5,0
8,3,43,3,4,10,5
9,1,74,4,1,3,4
9,2,74,4,1,5,4
9,3,74,4,1,8,3
10,1,64,5,4,4,2
10,2,64,5,4,6,3
10,3,64,5,4,6,1
11,1,70,5,1,2,4
11,2,70,5,1,1,0
11,3,70,5,1,1,0
12,1,39,3,1,3,2
12,2,39,3,1,12,3
12,3,39,3,1,9,3
13,1,69,3,5,8,2
13,2,69,3,5,13,4
13,3,69,3,5,10,3
14,1,22,2,1,6,0
14,2,22,2,1,7,2
14,3,22,2,1,9,6
15,1,70,2,4,10,4
15,2,70,2,4,11,7
15,3,70,2,4,8,3
16,1,43,2,5,7,3
16,2,43,2,5,8,4
16,3,43,2,5,8,5
17,1,60,5,4,6,2
17,2,60,5,4,7,3
17,3,60,5,4,12,8
18,1,45,4,3,7,6
18,2,45,4,3,3,-0
18,3,45,4,3,6,3
19,1,66,3,3,8,4
19,2,66,3,3,8,4
19,3,66,3,3,11,4
20,1,67,2,3,7,3
20,2,67,2,3,10,5
20,3,67,2,3,8,1
21,1,59,1,2,9,4
21,2,59,1,2,9,7
21,3,59,1,2,8,3
22,1,50,1,1,8,3
22,2,50,1,1,11,5
22,3,50,1,1,8,2
23,1,31,3,4,9,3
23,2,31,3,4,7,1
23,3,31,3,4,6,4
24,1,33,1,1,10,5
24,2,33,1,1,4,0
24,3,33,1,1,9,3
25,1,54,3,1,2,3
25,2,54,3,1,5,4
25,3,54,3,1,1,1
26,1,62,1,5,9,3
26,2,62,1,5,10,8
26,3,62,1,5,7,4
27,1,56,5,2,7,3
27,2,56,5,2,6,2
27,3,56,5,2,4,2
28,1,38,3,3,3,0
28,2,38,3,3,8,3
28,3,38,3,3,6,1
29,1,65,2,5,8,3
29,2,65,2,5,11,5
29,3,65,2,5,10,6
30,1,50,1,1,6,4
30,2,50,1,1,11,4
30,3,50,1,1,6,3
31,1,32,4,4,6,4
31,2,32,4,4,6,4
31,3,32,4,4,9,2
32,1,19,2,1,6,2
32,2,19,2,1,8,5
32,3,19,2,1,9,4
33,1,65,3,1,5,0
33,2,65,3,1,8,5
33,3,65,3,1,8,5
34,1,70,3,5,10,3
34,2,70,3,5,9,5
34,3,70,3,5,6,4
35,1,28,5,3,0,2
35,2,28,5,3,6,2
35,3,28,5,3,8,3
36,1,65,3,1,8,4
36,2,65,3,1,7,2
36,3,65,3,1,5,2
37,1,68,1,4,9,4
37,2,68,1,4,12,5
37,3,68,1,4,11,7
38,1,28,5,4,4,0
38,2,28,5,4,4,1
38,3,28,5,4,9,4
39,1,46,3,1,6,0
39,2,46,3,1,6,0
39,3,46,3,1,7,2
40,1,57,1,1,9,4
40,2,57,1,1,6,1
40,3,57,1,1,6,1
41,1,61,1,2,8,5
41,2,61,1,2,7,5
41,3,61,1,2,8,3
42,1,52,2,2,7,3
42,2,52,2,2,6,2
42,3,52,2,2,8,1
43,1,64,2,4,10,4
43,2,64,2,4,11,4
43,3,64,2,4,8,3
44,1,70,2,1,7,4
44,2,70,2,1,8,3
44,3,70,2,1,8,5
45,1,34,3,5,10,4
45,2,34,3,5,9,4
45,3,34,3,5,11,6
46,1,33,3,3,7,5
46,2,33,3,3,6,6
46,3,33,3,3,8,2
47,1,49,5,3,2,2
47,2,49,5,3,9,3
47,3,49,5,3,5,2
48,1,54,2,3,7,3
48,2,54,2,3,7,1
48,3,54,2,3,10,4
49,1,60,1,3,9,5
49,2,60,1,3,11,5
49,3,60,1,3,11,4
50,1,32,5,3,0,1
50,2,32,5,3,5,3
50,3,32,5,3,9,5
51,1,22,5,1,3,-0
51,2,22,5,1,5,2
51,3,22,5,1,6,0
52,1,61,4,4,6,1
52,2,61,4,4,6,3
52,3,61,4,4,9,5
53,1,55,5,2,4,3
53,2,55,5,2,-0,0
53,3,55,5,2,3,0
54,1,69,1,2,7,1
54,2,69,1,2,5,3
54,3,69,1,2,10,3
55,1,75,3,3,7,1
55,2,75,3,3,9,3
55,3,75,3,3,11,4
56,1,68,1,5,10,5
56,2,68,1,5,10,6
56,3,68,1,5,9,5
57,1,47,1,4,12,7
57,2,47,1,4,12,4
57,3,47,1,4,7,2
58,1,68,3,2,6,2
58,2,68,3,2,8,2
58,3,68,3,2,9,4
59,1,49,2,5,6,3
59,2,49,2,5,9,1
59,3,49,2,5,13,5
60,1,51,3,3,7,2
60,2,51,3,3,2,0
60,3,51,3,3,6,4
61,1,58,2,5,9,2
61,2,58,2,5,12,4
61,3,58,2,5,12,4
