voter_id,treatment,turnout,turnout_pct
1,Canvassed,1,100
2,Canvassed,1,100
3,Control,0,0
4,Control,0,0
5,Canvassed,0,0
6,Control,0,0
7,Canvassed,1,100
8,Canvassed,0,0
9,Control,1,100
10,Canvassed,1,100
11,Canvassed,1,100
12,Canvassed,1,100
13,Canvassed,0,0
14,Canvassed,1,100
15,Control,0,0
16,Control,0,0
17,Canvassed,0,0
18,Canvassed,1,100
19,Canvassed,1,100
20,Canvassed,0,0
21,Canvassed,0,0
22,Canvassed,1,100
23,Control,0,0
24,Canvassed,0,0
25,Control,1,100
26,Control,0,0
27,Canvassed,1,100
28,Canvassed,0,0
29,Canvassed,0,0
30,Canvassed,0,0
31,Canvassed,1,100
32,Control,0,0
33,Canvassed,1,100
34,Control,0,0
35,Control,0,0
36,Control,1,100
37,Control,1,100
38,Canvassed,1,100
39,Canvassed,0,0
40,Control,1,100
41,Control,1,100
42,Canvassed,0,0
43,Canvassed,0,0
44,Control,1,100
45,Control,1,100
46,Canvassed,0,0
47,Control,1,100
48,Control,0,0
49,Control,0,0
50,Control,0,0
51,Control,1,100
52,Control,1,100
53,Control,0,0
54,Control,0,0
55,Control,0,0
56,Canvassed,1,100
57,Control,0,0
58,Control,0,0
59,Canvassed,0,0
60,Canvassed,1,100
61,Control,1,100
62,Canvassed,0,0
63,Control,0,0
64,Canvassed,0,0
65,Canvassed,0,0
66,Control,1,100
67,Control,0,0
68,Canvassed,0,0
69,Control,1,100
70,Canvassed,0,0
71,Canvassed,0,0
72,Canvassed,0,0
73,Canvassed,1,100
74,Control,0,0
75,Canvassed,1,100
76,Canvassed,0,0
77,Control,1,100
78,Canvassed,1,100
79,Canvassed,0,0
80,Control,0,0
81,Canvassed,1,100
82,Control,0,0
83,Canvassed,1,100
84,Control,1,100
85,Control,1,100
86,Control,1,100
87,Control,1,100
88,Control,0,0
89,Control,1,100
90,Canvassed,0,0
91,Control,0,0
92,Canvassed,1,100
93,Canvassed,1,100
94,Control,1,100
95,Canvassed,0,0
96,Control,1,100
97,Canvassed,0,0
98,Control,1,100
99,Canvassed,0,0
100,Control,0,0
101,Control,0,0
102,Canvassed,0,0
103,Canvassed,0,0
104,Canvassed,1,100
105,Canvassed,0,0
106,Control,0,0
107,Canvassed,0,0
108,Canvassed,1,100
109,Canvassed,1,100
110,Canvassed,0,0
111,Control,0,0
112,Canvassed,0,0
113,Control,1,100
114,Canvassed,0,0
115,Control,0,0
116,Canvassed,1,100
117,Canvassed,1,100
118,Control,1,100
119,Canvassed,1,100
120,Control,1,100
121,Canvassed,1,100
122,Canvassed,0,0
123,Canvassed,0,0
124,Control,0,0
125,Canvassed,0,0
126,Control,0,0
127,Canvassed,1,100
128,Control,0,0
129,Canvassed,0,0
130,Canvassed,1,100
131,Control,0,0
132,Canvassed,1,100
133,Control,1,100
134,Control,0,0
135,Control,1,100
136,Canvassed,0,0
137,Control,0,0
138,Canvassed,0,0
139,Canvassed,0,0
140,Control,1,100
141,Control,0,0
142,Canvassed,1,100
143,Control,0,0
144,Control,0,0
145,Control,0,0
146,Control,0,0
147,Canvassed,1,100
148,Control,1,100
149,Control,1,100
150,Canvassed,0,0
151,Canvassed,0,0
152,Canvassed,0,0
153,Control,0,0
154,Control,0,0
155,Canvassed,1,100
156,Control,1,100
157,Canvassed,0,0
158,Canvassed,1,100
159,Control,0,0
160,Control,1,100
161,Control,0,0
162,Control,0,0
163,Canvassed,1,100
164,Control,0,0
165,Control,0,0
166,Canvassed,1,100
167,Canvassed,1,100
168,Control,1,100
169,Control,1,100
170,Canvassed,1,100
171,Control,0,0
172,Control,0,0
173,Canvassed,1,100
174,Canvassed,0,0
175,Control,0,0
176,Canvassed,1,100
177,Control,1,100
178,Canvassed,1,100
179,Control,1,100
180,Canvassed,1,100
181,Control,0,0
182,Control,1,100
183,Control,0,0
184,Canvassed,1,100
185,Control,1,100
186,Control,0,0
187,Canvassed,0,0
188,Canvassed,0,0
189,Control,0,0
190,Canvassed,0,0
191,Control,1,100
192,Canvassed,0,0
193,Control,0,0
194,Control,1,100
195,Canvassed,0,0
196,Control,0,0
197,Control,0,0
198,Canvassed,1,100
199,Control,1,100
200,Control,0,0
201,Canvassed,0,0
202,Canvassed,1,100
203,Canvassed,1,100
204,Canvassed,0,0
205,Canvassed,0,0
206,Control,0,0
207,Canvassed,1,100
208,Canvassed,0,0
209,Control,0,0
210,Canvassed,0,0
211,Canvassed,0,0
212,Control,1,100
213,Canvassed,0,0
214,Control,0,0
215,Control,1,100
216,Canvassed,0,0
217,Canvassed,1,100
218,Control,0,0
219,Control,0,0
220,Canvassed,1,100
221,Canvassed,1,100
222,Control,1,100
223,Control,0,0
224,Canvassed,1,100
225,Control,1,100
226,Control,0,0
227,Control,1,100
228,Canvassed,1,100
229,Canvassed,0,0
230,Control,0,0
231,Control,0,0
232,Control,0,0
233,Control,1,100
234,Canvassed,0,0
235,Control,0,0
236,Canvassed,0,0
237,Canvassed,1,100
238,Control,1,100
239,Canvassed,1,100
240,Control,1,100
241,Canvassed,0,0
242,Canvassed,1,100
243,Control,1,100
244,Canvassed,1,100
245,Control,0,0
246,Canvassed,1,100
247,Canvassed,1,100
248,Control,1,100
249,Control,0,0
250,Canvassed,0,0
251,Control,1,100
252,Control,0,0
253,Control,1,100
254,Control,1,100
255,Canvassed,0,0
256,Control,1,100
257,Control,1,100
258,Canvassed,1,100
259,Control,1,100
260,Control,0,0
261,Canvassed,0,0
262,Canvassed,1,100
263,Control,0,0
264,Control,1,100
265,Canvassed,1,100
266,Canvassed,0,0
267,Canvassed,1,100
268,Control,1,100
269,Canvassed,1,100
270,Canvassed,1,100
271,Control,0,0
272,Control,1,100
273,Control,0,0
274,Control,1,100
275,Canvassed,1,100
276,Control,0,0
277,Canvassed,0,0
278,Control,1,100
279,Canvassed,1,100
280,Canvassed,1,100
281,Control,0,0
282,Canvassed,1,100
283,Control,1,100
284,Control,0,0
285,Canvassed,1,100
286,Control,0,0
287,Control,0,0
288,Canvassed,1,100
289,Canvassed,0,0
290,Canvassed,1,100
291,Canvassed,1,100
292,Control,0,0
293,Canvassed,0,0
294,Canvassed,0,0
295,Control,0,0
296,Canvassed,1,100
297,Control,0,0
298,Canvassed,1,100
299,Control,0,0
300,Control,0,0
301,Canvassed,0,0
302,Control,1,100
303,Control,0,0
304,Control,0,0
305,Canvassed,0,0
306,Control,0,0
307,Canvassed,0,0
308,Control,0,0
309,Control,0,0
310,Control,1,100
311,Canvassed,0,0
312,Canvassed,0,0
313,Canvassed,1,100
314,Control,0,0
315,Canvassed,0,0
316,Control,0,0
317,Control,0,0
318,Control,0,0
319,Control,0,0
320,Control,0,0
321,Control,0,0
322,Control,0,0
323,Canvassed,1,100
324,Control,1,100
325,Control,0,0
326,Control,0,0
327,Control,1,100
328,Control,0,0
329,Canvassed,1,100
330,Control,1,100
331,Canvassed,0,0
332,Canvassed,0,0
333,Canvassed,1,100
334,Canvassed,0,0
335,Control,0,0
336,Control,0,0
337,Control,1,100
338,Canvassed,0,0
339,Control,1,100
340,Canvassed,1,100
341,Control,1,100
342,Control,1,100
343,Control,0,0
344,Canvassed,0,0
345,Control,0,0
346,Control,1,100
347,Canvassed,0,0
348,Canvassed,1,100
349,Control,0,0
350,Canvassed,0,0
351,Canvassed,0,0
352,Canvassed,0,0
353,Control,0,0
354,Control,0,0
355,Control,0,0
356,Canvassed,1,100
357,Canvassed,0,0
358,Control,0,0
359,Canvassed,0,0
360,Canvassed,0,0
361,Canvassed,1,100
362,Control,0,0
363,Control,1,100
364,Canvassed,1,100
365,Canvassed,1,100
366,Canvassed,1,100
367,Control,0,0
368,Control,0,0
369,Canvassed,0,0
370,Control,0,0
371,Control,1,100
372,Control,1,100
373,Canvassed,1,100
374,Canvassed,0,0
375,Control,0,0
376,Canvassed,1,100
377,Control,1,100
378,Control,1,100
379,Canvassed,1,100
380,Canvassed,0,0
381,Canvassed,0,0
382,Canvassed,0,0
383,Canvassed,0,0
384,Control,0,0
385,Control,1,100
386,Control,0,0
387,Control,0,0
388,Control,0,0
389,Canvassed,1,100
390,Canvassed,1,100
391,Control,1,100
392,Control,0,0
393,Control,0,0
394,Control,0,0
395,Canvassed,1,100
396,Canvassed,0,0
397,Canvassed,1,100
398,Control,0,0
399,Canvassed,1,100
400,Canvassed,0,0
401,Canvassed,0,0
402,Canvassed,0,0
403,Canvassed,1,100
404,Control,0,0
405,Control,0,0
406,Canvassed,0,0
407,Canvassed,1,100
408,Control,0,0
409,Control,1,100
410,Canvassed,1,100
411,Canvassed,1,100
412,Canvassed,0,0
413,Canvassed,1,100
414,Canvassed,1,100
415,Control,1,100
416,Control,0,0
417,Control,0,0
418,Canvassed,0,0
419,Canvassed,0,0
420,Control,0,0
421,Canvassed,1,100
422,Canvassed,1,100
423,Control,1,100
424,Control,1,100
425,Control,0,0
426,Control,1,100
427,Control,0,0
428,Control,1,100
429,Canvassed,0,0
430,Canvassed,0,0
431,Control,1,100
432,Control,1,100
433,Control,0,0
434,Canvassed,0,0
435,Control,1,100
436,Control,0,0
437,Control,0,0
438,Canvassed,1,100
439,Control,1,100
440,Control,0,0
441,Canvassed,1,100
442,Control,0,0
443,Canvassed,0,0
444,Control,0,0
445,Canvassed,0,0
446,Control,0,0
447,Canvassed,1,100
448,Canvassed,1,100
449,Control,0,0
450,Control,0,0
451,Control,0,0
452,Control,0,0
453,Canvassed,1,100
454,Control,1,100
455,Control,0,0
456,Control,1,100
457,Canvassed,0,0
458,Canvassed,0,0
459,Canvassed,1,100
460,Canvassed,1,100
461,Control,0,0
462,Control,0,0
463,Canvassed,1,100
464,Control,1,100
465,Canvassed,0,0
466,Control,1,100
