"org_id","year","field","employees","expenses","grant_amount","gov_grant","private_grant","beneficiaries_served","rating"
254,2024,"Environment",27,741236,119011,1,0,201,3
733,2016,"Other",28,465916,49431,0,0,209,4
753,2015,"Education",33,350505,37151,0,1,192,5
86,2024,"Health",25,3756323,24660,1,1,205,3
308,2021,"Environment",34,397781,6873,1,1,185,5
457,2020,"Health",19,244937,4990,1,0,203,5
560,2018,"Other",36,429358,195890,0,1,202,5
648,2012,"Environment",27,276833,104305,0,1,209,3
701,2017,"Education",34,128542,12345,0,1,192,4
422,2024,"Health",38,501649,8182,0,1,212,2
757,2024,"Education",32,858458,228658,0,0,200,4
745,2023,"Other",23,420594,94270,1,0,216,4
747,2019,"Environment",42,341767,16786,1,0,220,4
78,2024,"Education",18,382645,86694,0,1,180,4
342,2022,"Environment",39,199820,14665,0,0,193,4
324,2021,"Education",34,160962,184534,0,1,207,4
435,2016,"Other",26,123515,175009,0,1,201,3
312,2017,"Environment",30,233786,100493,0,1,207,4
202,2014,"Education",38,315228,66515,0,0,216,3
266,2015,"Arts",32,617648,131012,0,0,188,3
180,2021,"Environment",37,770923,50239,1,1,195,5
304,2016,"Environment",31,1409422,110400,0,1,204,3
816,2015,"Arts",26,823083,94816,0,0,211,1
48,2015,"Education",27,1489393,104648,0,1,215,4
723,2016,"Education",41,215678,56092,0,1,183,3
47,2018,"Other",24,648411,169271,0,1,181,4
138,2021,"Education",24,448778,164008,1,1,205,5
793,2012,"Education",40,1060913,38480,0,1,210,5
138,2018,"Environment",27,525348,9159,0,0,204,4
145,2013,"Arts",20,368198,14399,0,0,216,5
525,2013,"Arts",19,1202726,59205,0,0,196,5
470,2015,"Other",37,293010,148187,0,1,211,5
567,2015,"Environment",24,237229,275428,0,1,188,5
110,2014,"Arts",43,310241,110721,1,1,210,4
139,2014,"Arts",32,274155,31864,1,0,197,4
594,2019,"Other",37,922598,165590,0,1,186,1
842,2014,"Education",25,123766,133498,1,0,187,2
766,2019,"Health",27,331522,9866,0,0,202,3
547,2014,"Environment",36,573288,1375,0,0,177,5
497,2015,"Health",38,499604,22833,0,0,200,4
82,2017,"Environment",31,275191,44104,0,0,183,4
682,2013,"Health",30,74082,250392,0,1,195,3
682,2019,"Other",23,535581,73529,0,1,182,1
500,2018,"Arts",31,1465673,81640,0,0,217,4
887,2017,"Health",33,210905,83454,0,1,181,2
867,2024,"Environment",29,148842,205089,0,0,208,5
443,2024,"Health",35,75875,27501,1,0,199,3
405,2012,"Other",37,1504244,175971,0,1,209,3
73,2022,"Arts",41,2201670,282184,0,0,195,4
506,2014,"Education",26,566901,39736,0,1,194,4
872,2020,"Education",29,1049406,284530,1,1,206,4
709,2017,"Health",29,29306,114142,0,0,175,4
454,2014,"Other",32,432858,86897,0,0,187,3
467,2024,"Other",29,69312,118723,1,1,230,5
817,2014,"Education",30,1808728,76389,0,0,219,4
243,2021,"Arts",31,883862,11897,0,0,208,3
