"proj_id","recipient_country","start_year","sector","commitment_usd_m","implementation_years","completed","eval_score"
1,"C48",2022,"Other",32.1,7,1,4
2,"C62",2010,"Education",7.2,8,1,3
3,"C21",2021,"Other",28.9,7,1,3
4,"C38",2022,"Health",15.7,3,1,4
5,"C87",2013,"Health",3.3,2,1,2
6,"C12",2012,"Health",10.5,7,1,5
7,"C21",2000,"Infrastructure",19,6,1,1
8,"C23",2021,"Education",9.6,2,0,NA
9,"C36",2012,"Health",3.2,4,1,4
10,"C16",2010,"Governance",7.7,1,1,3
11,"C53",2015,"Education",95,7,1,3
12,"C69",2019,"Governance",20.5,7,1,2
13,"C79",2006,"Governance",23.9,7,1,4
14,"C61",2003,"Education",24.5,2,1,5
15,"C48",2018,"Infrastructure",2.1,8,0,NA
16,"C58",2010,"Other",3,3,1,3
17,"C58",2024,"Health",7.1,2,1,4
18,"C74",2020,"Infrastructure",57.2,5,1,3
19,"C76",2004,"Infrastructure",9.7,8,1,4
20,"C88",2023,"Infrastructure",14.1,4,0,NA
21,"C70",2004,"Infrastructure",35.5,7,1,2
22,"C76",2002,"Infrastructure",6.9,6,1,3
23,"C81",2012,"Infrastructure",26.7,8,1,4
24,"C12",2015,"Other",10.5,3,1,1
25,"C05",2007,"Infrastructure",76.7,7,1,3
26,"C24",2007,"Infrastructure",9.4,3,0,NA
27,"C80",2012,"Health",5.8,6,1,4
28,"C78",2020,"Governance",3.9,5,1,4
29,"C12",2010,"Other",64.8,3,0,NA
30,"C41",2013,"Governance",22.1,1,0,NA
31,"C87",2005,"Governance",27.6,7,1,2
32,"C60",2022,"Education",8.8,4,1,5
33,"C11",2009,"Health",3.8,3,1,5
34,"C44",2003,"Governance",16.5,2,1,4
35,"C71",2000,"Health",3.1,4,1,2
36,"C10",2013,"Governance",51.2,7,1,2
37,"C01",2001,"Infrastructure",20.9,2,1,4
38,"C11",2017,"Health",17.6,7,1,3
39,"C06",2005,"Education",30.7,4,1,3
40,"C90",2001,"Infrastructure",5.1,1,1,4
41,"C74",2008,"Education",44.2,7,1,3
42,"C26",2022,"Health",6,2,1,5
43,"C18",2008,"Education",28.4,8,0,NA
44,"C75",2013,"Education",14.3,1,1,3
45,"C57",2002,"Other",7.3,4,1,2
46,"C72",2008,"Infrastructure",2.1,4,1,1
47,"C74",2017,"Governance",31.9,6,0,NA
48,"C59",2022,"Health",12.1,6,1,4
49,"C01",2022,"Education",16.7,1,1,4
50,"C28",2003,"Other",94.5,7,1,2
51,"C47",2000,"Education",6.8,2,0,NA
52,"C24",2000,"Governance",12.6,1,1,4
53,"C59",2024,"Infrastructure",8.3,6,1,4
54,"C87",2021,"Other",32.9,3,0,NA
55,"C53",2009,"Health",7.7,3,0,NA
56,"C31",2020,"Health",9.5,3,1,3
57,"C80",2023,"Education",12,5,1,5
58,"C90",2017,"Infrastructure",17.6,5,1,3
59,"C06",2003,"Health",4.5,7,1,4
60,"C24",2012,"Infrastructure",15.5,7,0,NA
61,"C48",2021,"Education",77.9,8,0,NA
62,"C26",2021,"Governance",11,8,0,NA
63,"C52",2002,"Infrastructure",27.6,7,1,4
64,"C90",2018,"Other",155.3,1,1,5
65,"C67",2008,"Health",29.5,6,1,4
66,"C87",2006,"Infrastructure",16.7,2,1,3
67,"C51",2014,"Infrastructure",33.6,2,1,5
68,"C87",2009,"Health",95.2,6,0,NA
69,"C06",2003,"Education",16.5,7,1,3
70,"C72",2006,"Infrastructure",19.1,7,1,3
71,"C46",2015,"Governance",51,2,0,NA
72,"C18",2013,"Health",35.9,7,1,2
73,"C67",2012,"Health",20.2,2,0,NA
74,"C05",2014,"Governance",17.9,3,1,3
75,"C67",2015,"Health",3.3,7,1,4
76,"C71",2005,"Other",21.8,4,1,2
77,"C13",2020,"Education",41.5,7,1,4
78,"C86",2010,"Governance",27.1,4,1,4
79,"C33",2024,"Education",40.7,3,1,4
80,"C86",2014,"Health",20.1,7,1,3
81,"C81",2018,"Infrastructure",4.6,7,1,4
82,"C51",2021,"Health",61.5,1,0,NA
83,"C38",2003,"Governance",25.5,1,0,NA
84,"C78",2015,"Education",2.4,4,1,3
85,"C05",2002,"Other",7.9,4,1,3
86,"C56",2007,"Infrastructure",37.2,4,1,1
87,"C31",2022,"Infrastructure",49,1,1,3
88,"C34",2014,"Governance",19.5,1,1,4
89,"C13",2021,"Governance",21.4,5,1,3
90,"C54",2012,"Other",10,5,0,NA
91,"C32",2017,"Infrastructure",24.2,7,1,2
92,"C51",2011,"Other",7.3,7,1,5
93,"C83",2008,"Governance",11.8,7,0,NA
94,"C83",2004,"Health",6.4,7,1,3
95,"C84",2008,"Education",64.9,7,0,NA
96,"C16",2009,"Health",14.3,7,1,4
97,"C82",2009,"Governance",5.2,8,1,3
98,"C56",2023,"Health",37.2,2,0,NA
99,"C18",2010,"Health",9.1,7,0,NA
100,"C63",2020,"Infrastructure",17.4,7,1,3
101,"C52",2001,"Governance",36.5,2,1,4
102,"C57",2017,"Health",2.5,4,1,4
103,"C86",2014,"Infrastructure",33.7,1,1,5
104,"C51",2003,"Governance",2.4,3,1,3
105,"C83",2022,"Governance",4.2,4,1,4
106,"C10",2001,"Infrastructure",10,6,1,3
107,"C49",2018,"Other",7.9,1,0,NA
108,"C09",2002,"Infrastructure",2.5,6,1,3
109,"C08",2012,"Other",9.9,7,1,4
110,"C17",2005,"Governance",62.1,2,1,4
111,"C33",2003,"Infrastructure",2.3,3,0,NA
112,"C84",2002,"Education",11.4,3,1,2
113,"C12",2018,"Health",17.3,4,1,5
114,"C31",2015,"Health",4.2,1,1,4
115,"C64",2014,"Infrastructure",23.9,5,1,4
116,"C25",2017,"Infrastructure",4.7,7,1,2
117,"C68",2023,"Education",12.8,5,0,NA
118,"C81",2000,"Governance",4.3,3,0,NA
119,"C24",2003,"Infrastructure",37,6,1,5
120,"C64",2024,"Education",6.9,1,1,3
121,"C38",2001,"Governance",59.6,3,1,3
122,"C38",2008,"Governance",64,8,0,NA
123,"C87",2011,"Infrastructure",17.3,5,1,5
124,"C44",2012,"Other",12.4,2,1,2
125,"C88",2008,"Health",6.1,4,0,NA
126,"C35",2024,"Health",4.6,3,1,4
127,"C40",2019,"Other",42.3,8,1,3
128,"C71",2019,"Health",3.9,8,1,3
129,"C15",2002,"Other",2.4,8,1,3
130,"C33",2019,"Education",62.6,8,1,3
131,"C13",2010,"Health",20,4,1,4
132,"C16",2017,"Health",9.6,4,1,3
133,"C82",2018,"Health",32.1,8,1,4
134,"C31",2015,"Health",5.9,5,1,3
135,"C70",2014,"Governance",5.6,4,1,5
136,"C51",2007,"Infrastructure",11.3,2,0,NA
