person_id,watches_news,knowledge_score
1,No,5.5
2,Yes,5.7
3,Yes,8.3
4,No,5.9
5,No,4.5
6,Yes,7.2
7,Yes,3.2
8,Yes,8.3
9,Yes,5.9
10,Yes,5.5
11,No,3.8
12,No,4.7
13,Yes,7.3
14,No,7.8
15,Yes,4.5
16,No,3.8
17,No,5.5
18,Yes,7
19,Yes,7.8
20,No,4.7
21,No,4.3
22,No,3
23,No,4.6
24,Yes,5.3
25,No,3.2
26,No,4
27,No,3.4
28,Yes,7
29,Yes,4.9
30,No,2.6
31,No,5.2
32,No,2.4
33,No,3.6
34,No,5.5
35,Yes,7.2
36,No,3.7
37,No,4.9
38,Yes,5.6
39,Yes,8.1
40,No,4.6
41,Yes,4.9
42,No,5.5
43,No,2.3
44,No,0.3
45,Yes,8.8
46,No,4.5
47,No,5.9
48,No,3.1
49,No,5.4
50,No,6
51,Yes,4.9
52,Yes,5.3
53,Yes,6.9
54,No,7.1
55,Yes,6.2
56,No,3.3
57,Yes,3.9
58,Yes,4.8
59,Yes,7.3
60,No,3.1
61,Yes,7.3
62,Yes,6.9
63,Yes,7
64,No,5.8
65,Yes,3.9
66,Yes,4.3
67,Yes,7.7
68,No,0.9
69,No,3.3
70,No,3.8
71,Yes,5.3
72,No,7
73,No,6.5
74,Yes,3.8
75,No,7.3
76,No,3
77,No,6.5
78,Yes,6.9
79,Yes,5.9
80,No,5.8
81,Yes,5.9
82,No,5.4
83,Yes,4.2
84,No,3.4
85,No,4.5
86,No,4.7
87,No,6.4
88,Yes,7
89,Yes,5
90,No,5.7
91,Yes,8.4
92,No,3.9
93,No,6.1
94,No,6.9
95,No,3.2
96,Yes,5.1
97,No,2.9
98,No,2.6
99,No,3.2
100,No,3.1
101,Yes,5.7
102,No,4.6
103,Yes,4.5
104,No,4.3
105,No,3.5
106,No,4
107,No,6.6
108,No,5.8
109,No,5.7
110,Yes,4.6
111,No,7.7
112,Yes,5
113,Yes,6.1
114,Yes,4.4
115,No,3.5
116,No,2.9
117,Yes,7.2
118,Yes,4.8
119,No,6.6
120,No,6.5
121,Yes,8.4
122,No,4.2
123,Yes,4
124,No,2.9
125,Yes,6.9
126,Yes,6.5
127,Yes,6.1
128,No,7.3
129,No,3.2
130,No,2.5
131,Yes,6.3
132,No,5.8
133,Yes,7.5
134,No,6.5
135,No,5.1
136,No,2.3
137,No,2.9
138,No,4.2
139,Yes,5.7
140,Yes,3.4
141,Yes,5.4
142,Yes,6.2
143,No,6.4
144,Yes,5.1
145,Yes,2.3
146,No,4.8
147,No,4.2
148,No,2.3
149,No,3.8
150,No,5
151,Yes,6.5
152,Yes,7.3
153,No,3.8
154,No,3.6
155,Yes,6
156,No,3.4
157,No,3.9
158,No,3.9
159,Yes,5.3
160,No,3.9
161,No,5.2
162,No,4.7
163,Yes,5.5
164,Yes,4.9
165,No,4.7
166,No,6.4
167,No,5
168,Yes,6.1
169,Yes,7.1
170,No,5.5
171,No,1.9
172,Yes,5.2
173,No,4.5
174,Yes,6.9
175,Yes,9.5
176,No,2.5
177,Yes,6
178,No,2.9
179,No,3.6
180,Yes,6.8
181,No,6.7
182,Yes,6.2
183,Yes,6.6
184,No,4.1
185,Yes,6.2
186,No,4.4
187,Yes,5.2
188,Yes,6.5
189,Yes,7.3
190,Yes,5.1
191,No,3.7
192,No,2.9
193,No,4.1
194,Yes,7.3
195,No,4
196,No,8
197,No,4.3
198,Yes,6.8
199,Yes,4.1
200,Yes,8.3
